,team,playerid,name,assists,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,round,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,GW,fdr
0,1,11,Pierre-Emerick_Aubameyang_11,0,1,6.5,0,1,12.2,37.4,90,13,1,0,1.0,0.0,78.0,6,110,False,0,1,2.0
1,1,12,Alexandre_Lacazette_12,0,0,0.0,0,0,0.0,0.0,0,13,1,0,1.0,0.0,0.0,0,95,False,0,1,2.0
2,1,14,Bernd_Leno_14,0,1,0.0,0,0,1.8,18.0,90,13,1,2,1.0,0.0,0.0,7,50,False,0,1,2.0
3,2,29,Jack_Grealish_29,0,0,22.1,3,0,4.9,27.0,90,17,1,0,1.0,3.0,0.0,2,60,False,0,1,4.0
4,3,42,Lewis_Dunk_42,1,1,13.3,0,0,5.1,35.8,90,18,1,0,3.0,0.0,2.0,11,45,False,1,1,2.0
5,3,47,Mathew_Ryan_47,0,1,0.0,0,0,2.5,25.4,90,18,1,3,3.0,0.0,0.0,9,45,False,0,1,2.0
6,4,67,Callum_Wilson_67,1,0,2.3,1,0,4.0,2.4,89,15,1,0,1.0,1.0,35.0,5,80,True,0,1,2.0
7,5,83,Ben_Mee_83,0,1,0.1,0,0,2.3,21.2,90,16,1,0,0.0,3.0,2.0,6,50,True,0,1,3.0
8,5,84,James_Tarkowski_84,0,1,0.2,0,0,5.4,18.0,90,16,1,0,0.0,3.0,36.0,6,50,True,0,1,3.0
9,5,91,Chris_Wood_91,0,1,0.7,0,0,0.8,0.0,90,16,1,0,0.0,3.0,8.0,2,65,True,0,1,3.0
10,5,93,Nick_Pope_93,0,1,10.0,0,0,3.6,25.6,90,16,1,3,0.0,3.0,0.0,8,45,True,0,1,3.0
11,5,97,Dwight_McNeil_97,0,1,5.3,0,0,2.1,15.8,83,16,1,0,0.0,3.0,0.0,3,60,True,0,1,3.0
12,5,101,Ashley_Westwood_101,0,1,11.5,0,0,1.8,6.4,90,16,1,0,0.0,3.0,0.0,3,55,True,0,1,3.0
13,6,105,César_Azpilicueta_105,0,0,16.7,4,0,4.3,24.2,90,12,1,0,0.0,4.0,2.0,0,60,False,0,1,4.0
14,6,113,Willian_Borges Da Silva_113,0,0,0.0,0,0,0.0,0.0,0,12,1,0,0.0,4.0,0.0,0,70,False,0,1,4.0
15,12,122,Aaron_Wan-Bissaka_122,0,1,16.1,0,0,4.9,30.4,90,6,1,0,0.0,4.0,2.0,8,55,True,0,1,4.0
16,7,123,Patrick_van Aanholt_123,0,1,0.5,0,0,1.8,15.4,90,8,1,0,0.0,0.0,2.0,6,55,True,0,1,3.0
17,7,131,Vicente_Guaita_131,0,1,0.0,0,0,1.4,14.0,90,8,1,2,0.0,0.0,0.0,6,50,True,0,1,3.0
18,7,133,Wilfried_Zaha_133,0,0,0.8,0,0,3.7,4.4,25,8,1,0,0.0,0.0,32.0,1,70,True,0,1,3.0
19,8,141,Lucas_Digne_141,0,1,16.5,0,0,4.5,6.4,90,7,1,0,0.0,0.0,22.0,6,60,False,0,1,2.0
20,8,147,Dominic_Calvert-Lewin_147,0,1,11.2,0,0,1.9,1.4,68,7,1,0,0.0,0.0,6.0,2,60,False,0,1,2.0
21,8,148,Jordan_Pickford_148,0,1,0.0,0,0,2.1,20.8,90,7,1,2,0.0,0.0,0.0,7,55,False,0,1,2.0
22,8,150,Richarlison_de Andrade_150,0,1,19.3,0,0,6.4,12.2,90,7,1,0,0.0,0.0,32.0,3,80,False,0,1,2.0
23,9,159,Ricardo Domingos_Barbosa Pereira_159,0,1,16.0,0,0,4.6,21.4,90,20,1,0,0.0,0.0,9.0,9,60,True,0,1,3.0
24,9,160,Harry_Maguire_160,0,1,10.8,0,0,5.4,34.8,90,6,1,0,0.0,4.0,8.0,6,55,True,0,1,4.0
25,9,161,Benjamin_Chilwell_161,0,1,16.8,0,0,3.1,5.4,90,20,1,0,0.0,0.0,9.0,6,55,True,0,1,3.0
26,9,162,Jonny_Evans_162,0,1,0.3,0,0,3.7,27.4,90,20,1,0,0.0,0.0,9.0,7,50,True,0,1,3.0
27,9,164,Çaglar_Söyüncü_164,0,1,0.5,0,0,2.3,20.4,90,20,1,0,0.0,0.0,2.0,6,45,True,0,1,3.0
